date,max_temperature,avg_temperature,min_temperature,max_dew_point,avg_dew_point,min_dew_point,max_humidity,avg_humidity,min_humidity,max_wind_speed,avg_wind_speed,min_wind_speed,rainfall
24/5/2015,90,84.8,79,79,77.2,73,89,79,59,9,3.7,0,0
26/5/2015,86,82.9,79,79,77.3,75,94,83,70,12,3.9,0,3.62
29/5/2015,90,85.2,81,79,77.8,75,94,79,62,12,4.6,0,1.17
30/5/2015,91,84.3,77,81,78.4,75,100,82.7,66,12,4.3,0,68.01
7/6/2015,90,83.4,77,81,78.2,77,100,84.9,66,12,4.3,0,17.66
8/6/2015,88,82.6,77,79,77.5,77,100,85.2,70,10,3.3,0,1.43
9/6/2015,90,82.4,77,79,76.9,75,100,84.3,66,8,4,0,0.91
10/6/2015,90,83.8,79,79,77.6,75,94,82.2,66,9,3.1,0,2.92
11/6/2015,88,83.3,79,79,78.2,75,94,85,70,9,3.7,0,0.07
12/6/2015,86,80.8,77,79,76.9,75,100,88.4,74,18,4.2,0,0.01
13/6/2015,90,82.3,75,79,76.6,73,100,83.9,66,13,3.5,0,0.47
16/6/2015,88,82,77,79,77.3,77,100,86.2,70,7,2.6,0,0
18/6/2015,90,84.3,79,79,76.4,73,94,78.4,59,9,3.6,0,0.06
19/6/2015,90,85.3,82,81,79.5,77,94,82.3,70,16,6.4,0,8.79
20/6/2015,86,82.5,72,81,78.1,70,94,86,74,17,3,0,4.31
22/6/2015,90,85.2,81,81,78.5,77,94,80.9,66,12,4.7,0,22.38
24/6/2015,90,84.2,79,79,78.2,77,94,82.8,70,12,4,0,2.47
25/6/2015,90,84.7,79,81,78.5,77,94,82.1,66,12,4.3,0,15.38
26/6/2015,90,85.1,79,81,78.8,77,94,82,66,13,4.3,0,10.27
27/6/2015,91,85.5,81,81,79.2,77,94,81.8,66,14,6,0,10.6
29/6/2015,91,84.9,79,81,77.2,75,94,78.5,62,13,4.1,0,2.09
6/7/2015,90,84.9,79,79,77,73,94,78,62,13,4.7,0,0.37
9/7/2015,90,83.1,79,79,77.7,75,100,84,66,8,2.7,0,4.6
10/7/2015,86,80.9,75,79,77.4,75,100,89.5,79,12,3.2,0,1.95
11/7/2015,91,84.2,77,79,76.2,72,100,78.3,52,9,2.9,0,0.18
13/7/2015,90,83.3,79,79,77,75,94,82.2,66,9,3.5,0,8.99
16/7/2015,90,84.2,79,79,77.8,77,94,82,66,12,4,0,1.25
17/7/2015,90,84.3,81,81,78.5,77,94,82.7,66,12,4.4,0,4.97
18/7/2015,90,84.9,81,81,78.9,77,94,82,66,13,6.3,0,7.01
19/7/2015,88,82.5,77,81,77.4,75,94,84.4,70,12,4.2,0,0.84
20/7/2015,90,84.7,79,79,77.1,73,89,78.2,66,15,6.1,0,0.99
23/7/2015,90,83.9,81,79,77.6,75,94,81.7,66,10,3.5,0,0.56
24/7/2015,88,82.4,77,79,76.3,73,94,82.8,66,14,3.4,0,3.92
25/7/2015,88,81.6,75,79,75.8,73,94,83.4,66,14,3.4,0,14.99
26/7/2015,84,80.1,73,77,75,73,100,85.6,74,17,4.4,0,3.1
27/7/2015,88,82.7,79,77,75.6,75,89,80.1,66,9,3.1,0,0.53
28/7/2015,88,83.3,79,79,75.9,73,89,79.4,66,12,4.5,0,0.14
29/7/2015,90,83.4,79,79,76.3,73,89,80.1,66,14,4.8,0,0.1
31/7/2015,88,81.2,75,77,75.8,73,100,84.3,66,9,3.1,0,0
1/8/2015,86,81.8,77,79,76,73,94,83.4,66,13,3.6,0,0.01
2/8/2015,86,80.3,77,79,76.1,72,94,87.6,74,10,1.6,0,0.3
3/8/2015,84,78.2,75,77,75.3,73,100,91.3,74,8,2.5,0,0.02
5/8/2015,88,80.7,75,79,75.7,72,100,85.5,74,8,3.8,0,0.22
8/8/2015,88,80.2,73,81,75.5,73,100,86.8,62,20,4.9,0,0.04
9/8/2015,88,81.4,75,77,75,73,100,81.9,66,10,2.4,0,0.16
12/8/2015,88,81.4,77,77,74.9,72,94,81.9,66,9,3.7,0,0.01
13/8/2015,90,83.7,77,79,75.1,72,89,76.4,62,10,4.1,0,0.45
15/8/2015,88,82.5,77,77,75.9,73,100,81.5,62,10,3.5,0,0.67
16/8/2015,90,81.3,75,79,76.3,73,100,86.1,66,12,3.8,0,2.44
17/8/2015,88,82.4,77,79,76.9,75,100,83.9,70,12,5.3,0,3.75
18/8/2015,88,82.8,79,79,77,75,94,83.2,70,14,5.2,0,4.02
19/8/2015,88,83.1,79,79,77,72,94,82.4,70,9,3.4,0,1.84
22/8/2015,90,82.9,77,79,76.2,73,94,81,62,9,3.5,0,29.1
23/8/2015,90,83.5,79,79,76.9,75,94,81.4,66,10,3,0,21.28
26/8/2015,90,83.8,79,79,77,73,94,80.5,66,14,5.3,0,25.64
27/8/2015,90,83.3,79,79,75.3,73,89,77.5,66,7,2.9,0,8.87
28/8/2015,91,85,81,79,77.1,75,94,77.8,59,13,4.1,0,24.09
29/8/2015,90,84,79,79,76.4,73,94,79.1,59,13,4.8,0,7.93
30/8/2015,84,79.6,77,79,76,75,100,89.5,79,10,4.5,0,1.07
31/8/2015,88,82.3,75,77,76.5,73,94,83.4,66,8,3.1,0,3.17
10/9/2015,86,79.3,75,75,74.3,73,100,86.3,66,7,2.3,0,0
12/9/2015,88,81,75,79,75.8,73,100,84.8,70,10,4.2,0,0.31
19/9/2015,90,82.1,75,79,75.6,72,94,81.8,66,14,3.5,0,8.53
27/9/2015,88,80.3,75,75,72.9,72,94,79.1,62,12,2.5,0,5.47
29/9/2015,88,81.1,77,77,72.8,72,89,76.9,58,12,2.8,0,1.79
30/9/2015,86,81.2,77,77,74.7,73,94,81.8,70,9,3.2,0,2.42
6/1/2016,90,83,77,77,74.8,72,89,77.8,62,12,5,0,0.1
8/1/2016,91,82.6,75,73,71.8,68,89,70.9,52,13,5.2,0,0.1
11/1/2016,90,82.8,77,77,74.2,72,94,76.3,62,12,4.9,0,0.01
15/1/2016,88,81.5,75,77,75.1,73,100,82.1,66,14,4.8,0,1.74
16/1/2016,88,81,75,77,74.8,73,100,82.7,62,10,4.3,0,0.72
17/1/2016,86,80.2,77,75,73.3,72,89,80.5,66,9,3.4,0,1.23
20/1/2016,88,83.5,79,77,75.1,73,89,77,62,13,4.9,0,4.91
21/1/2016,93,84.1,77,77,74.1,70,89,72.8,52,12,4.8,0,0.23
22/1/2016,90,82.7,79,77,74.9,72,89,78.2,62,12,3.4,0,5.62
23/1/2016,91,83.9,77,75,71.9,68,84,68,52,10,5.7,0,22.85
26/1/2016,90,82.4,77,75,71.8,70,83,70.5,58,12,6.4,2,6.98
27/1/2016,90,83.5,79,75,73.3,70,84,71.8,62,12,6.9,2,3.81
29/1/2016,91,82.5,77,79,74.9,73,89,79,66,10,4.8,0,18.93
9/2/2016,88,80.2,77,77,72.7,70,94,78.2,66,12,7.3,0,9.02
10/2/2016,90,81.6,77,77,74.8,70,94,79.7,66,10,5.2,0,55.29
11/2/2016,88,82.2,79,79,76.5,73,94,83.7,70,13,5.4,0,4.69
13/2/2016,90,82.3,77,84,78.2,75,94,88.1,79,12,5.2,0,2.81
15/2/2016,88,81.6,77,77,74.5,72,89,80,66,13,4.9,0,12.71
16/2/2016,91,83.7,77,73,71.9,66,83,68.5,49,12,5.1,0,0.85
18/2/2016,90,82,75,75,70,66,89,68,46,12,4.7,0,0.69
20/2/2016,90,82.8,77,75,72.3,68,83,71.1,55,13,6.7,1,6.73
22/2/2016,91,82.3,73,73,66.3,61,89,59.8,41,12,5.7,0,0
26/2/2016,93,83.3,77,72,66.1,63,74,57.2,38,13,8.3,0,8.32
29/2/2016,93,84,77,73,69.4,66,79,62,41,16,7.6,0,15.28
1/3/2016,90,82.5,77,73,69.7,66,83,66,49,12,6.2,0,0.48
2/3/2016,91,83.7,77,75,69.3,66,89,62.7,46,14,6.9,0,0.89
3/3/2016,91,83.4,77,75,70.6,66,84,66.3,49,13,6.7,0,0.84
5/3/2016,93,84.6,79,75,72.3,68,84,67.7,46,13,5.7,0,12.95
6/3/2016,90,84.3,79,77,75.7,73,89,75.9,62,14,4.5,0,25.56
8/3/2016,90,83.9,79,77,76.4,75,94,79.3,62,13,4.5,0,0.36
9/3/2016,90,83.8,79,77,76.7,75,94,80.2,66,12,3.9,0,22.34
11/3/2016,91,84.8,79,79,75.4,73,89,74.7,55,12,3.5,0,13.56
12/3/2016,90,83.9,77,79,75.2,72,89,75.7,62,14,6.4,1,4.61
15/3/2016,91,85.1,81,81,77.2,75,89,77.5,66,12,4.7,0,22.49
16/3/2016,91,84.4,77,81,78,75,94,81.3,70,10,4,0,5.21
17/3/2016,91,84.7,79,81,77.5,75,89,79.1,66,14,5.2,1,6.91
19/3/2016,93,85.3,79,79,76.1,73,89,74.8,56,13,4.8,0,7.77
20/3/2016,93,85.6,79,77,73.5,70,79,67.7,49,12,5.4,1,1.3
21/3/2016,93,85.1,79,79,75.4,73,84,73.7,55,12,5,0,1.78
22/3/2016,90,84.5,79,79,76.4,73,84,77.1,66,10,4.4,0,0.01
